Timestamp,Author_ID,Content,Likes,Retweets,Replies,Cleaned_Content,Sentiment_Polarity,Sentiment,Dominant_Topic
2024-11-21 13:31:01+00:00,1487315446218952705,"RT @FameEXGlobal: 🤔 How to start your USDⓈ-M Perpetual Futures trading? 

Follow these 3 simple steps here below👇

⭐️ Try our $BTC/ $USDT F…",0,224,0,"rt   how to start your usdm perpetual futures trading 

follow these  simple steps here below

 try our btc usdt f",0.0,Neutral,0
2024-11-21 13:31:01+00:00,460318959,"@ReturnOfBeeks Amazing trade on $MSTR 400 call went from 12 to 30, wowowow! Resulting in +92k profits!! 🚀 #Only1banana3

Ready to level up your trading? Get exclusive insights! Join us today
#GetSmarter
👇👇

https://t.co/z7seFmVTOg",0,0,0," amazing trade on mstr  call went from  to  wowowow resulting in k profits  onlybanana

ready to level up your trading get exclusive insights join us today
getsmarter


",0.4,Positive,4
2024-11-21 13:31:01+00:00,1854830923424186383,"RT @Toobit_official: 🚨 New listing alert!🚨
Trade #DGBUSDT and #ATHUSDT with 20X and #MAXUSDT, #MERLUSDT, and #FOXYUSDT on #Toobit with leve…",0,9,0,"rt   new listing alert
trade dgbusdt and athusdt with x and maxusdt merlusdt and foxyusdt on toobit with leve",0.13636363636363635,Positive,4
2024-11-21 13:31:01+00:00,157030603,"@UnderWashington @BobFergusonAG I've benefited so much from her excellent trading technique @juliecilajoana. Beginning this journey I started up my investment with $1,000, within few days I got a return of $12,000. Her experience and trustworthiness is unmatched",0,0,0,  ive benefited so much from her excellent trading technique  beginning this journey i started up my investment with  within few days i got a return of  her experience and trustworthiness is unmatched,0.3333333333333333,Positive,4
2024-11-21 13:31:01+00:00,2988481241,"@letspuddintime Click the link if you are interested in Joining VIP Mentorship Program for Premium Trading On Telegram!📈
👇🤝👇

https://t.co/8pXCGkkw9F",0,0,0," click the link if you are interested in joining vip mentorship program for premium trading on telegram


",0.25,Positive,3
2024-11-21 13:31:01+00:00,1654931790921093120,"@xNFT_killa I'll be updating more here on my free Telegram channel and sharing more ideas along with my trading analysis and hint

DROP HELLO 👋 TO JOIN NOW!!
👇
https://t.co/rgFodSsSUR",0,0,0," ill be updating more here on my free telegram channel and sharing more ideas along with my trading analysis and hint

drop hello  to join now

",0.225,Positive,1
2024-11-21 13:31:01+00:00,529203085,"@capnpepe1 Say hello on telegram 👋 to join my trading group now 
👇👇

https://t.co/40x2tehAl4",0,0,0," say hello on telegram  to join my trading group now 


",0.0,Neutral,1
2024-11-21 13:31:01+00:00,1732566819133599744,"RT @FameEXGlobal: 🤔 How to start your USDⓈ-M Perpetual Futures trading? 

Follow these 3 simple steps here below👇

⭐️ Try our $BTC/ $USDT F…",0,224,0,"rt   how to start your usdm perpetual futures trading 

follow these  simple steps here below

 try our btc usdt f",0.0,Neutral,0
2024-11-21 13:31:01+00:00,1566439651140947968,"Absolutely, reversal patterns after a downtrend are critical for beginners, especially in price action trading. They can signal a potential change in trend, providing opportunities to enter at favorable prices. Here are a few must-know reversal patterns:

1. Double Bottom

What… https://t.co/W0kUZQrtbl https://t.co/cSGsEQ6kyo",0,0,0,"absolutely reversal patterns after a downtrend are critical for beginners especially in price action trading they can signal a potential change in trend providing opportunities to enter at favorable prices here are a few mustknow reversal patterns

 double bottom

what  ",0.01428571428571429,Positive,3
2024-11-21 13:31:01+00:00,1634311468286980096,"@GraysonJ0 Join my trading telegram channel for more insight, alerts, signals, and strategies on trades.📈💰

Click the Link Below to join
👇
https://t.co/ac7DcHreUk",0,0,0," join my trading telegram channel for more insight alerts signals and strategies on trades

click the link below to join

",0.5,Positive,1
